Country,Account currency,Gender,Age min,Age max,Campaign days,Frequency cap,Campaign objective,Included interests/behaviors,Excluded interests/behaviors,Scenario budget,Budget,Impressions,Reach,Reach (millions),Lower Reach Percentage,Upper Reach Percentage,Frequency,Weekly frequency,CPM
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+90 pct,190000,437661834.7,37218294.23,37.2,0.775,0.912,11.75930792,1.46991349,0.434125128
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+90 pct,190000,224367092.1,41000555.71,41,0.854,1.005,5.474931307,2.737465654,0.846826503
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+90 pct,190000,346096788.9,39245942.12,39.2,0.818,0.962,8.818643893,2.204660973,0.548979378
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+90 pct,190000,489206801.6,35981954.78,36,0.75,0.882,13.59584028,1.699480035,0.388383807
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+95 pct,195000,190114489.4,42842545.85,42.8,0.893,1.05,4.450888462,2.225444231,1.025697729
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+95 pct,195000,299509430.2,40760289.94,40.8,0.849,0.999,7.348056628,1.837014157,0.651064642
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+95 pct,195000,442513762.2,37385596.24,37.4,0.779,0.916,11.83644082,1.479555103,0.440664261
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+95 pct,195000,226032168,41166795.26,41.2,0.858,1.009,5.494254237,2.747127118,0.862709064
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+95 pct,195000,349319802.1,39411935.83,39.4,0.821,0.966,8.863297765,2.215824441,0.558227729
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+95 pct,195000,495448830.8,36141859.08,36.1,0.753,0.886,13.70842338,1.713552922,0.393582521
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+100 pct,200000,191637858.9,43055269.58,43.1,0.897,1.055,4.46637446,2.23318723,1.04363512
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+100 pct,200000,301782691.9,40915571.65,40.9,0.852,1.003,7.375734777,1.843933694,0.662728531
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+100 pct,200000,447252006.8,37549244.42,37.5,0.782,0.92,11.91106753,1.488883441,0.447175188
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+100 pct,200000,227697243.9,41333034.81,41.3,0.861,1.013,5.513577167,2.756788583,0.878359336
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+100 pct,200000,352451242.2,39573062.93,39.6,0.824,0.97,8.906322249,2.226580562,0.567454377
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+100 pct,200000,501488621,36296068.75,36.3,0.756,0.89,13.81655157,1.727068946,0.398812638
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+105 pct,205000,193161228.5,43267993.31,43.3,0.901,1.06,4.481860458,2.240930229,1.061289585
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+105 pct,205000,303976501.2,41064035.51,41.1,0.856,1.006,7.402491057,1.850622764,0.674394235
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+105 pct,205000,451892387,37709914.77,37.7,0.786,0.924,11.98335039,1.497918799,0.453647828
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+105 pct,205000,229362319.8,41499274.37,41.5,0.865,1.017,5.532900096,2.766450048,0.89378238
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+105 pct,205000,355486982.5,39728919.38,39.7,0.828,0.974,8.947809393,2.236952348,0.576673718
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+105 pct,205000,507471630.2,36448797.74,36.4,0.759,0.893,13.92284451,1.740355564,0.403963469
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+110 pct,210000,194684598,43480717.04,43.5,0.906,1.066,4.497346457,2.248673228,1.078667764
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+110 pct,210000,306126147.6,41208377.85,41.2,0.859,1.01,7.428722619,1.857180655,0.685991712
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+110 pct,210000,456429571.6,37867645.88,37.9,0.789,0.928,12.05326413,1.506658017,0.460092889
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+110 pct,210000,231027395.7,41665513.92,41.7,0.868,1.021,5.552223026,2.776111513,0.908983107
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+110 pct,210000,358411114.5,39878488.58,39.9,0.831,0.977,8.987563323,2.246890831,0.58591933
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+110 pct,210000,513284444,36597376.16,36.6,0.762,0.897,14.02512699,1.753140873,0.409129874
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+115 pct,215000,196207967.6,43693440.77,43.7,0.91,1.071,4.512832455,2.256416227,1.095776092
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+115 pct,215000,308219352.1,41347128.64,41.3,0.861,1.013,7.454423325,1.863605831,0.697555162
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+115 pct,215000,460842306.3,38022501.96,38,0.792,0.932,12.12022907,1.515028634,0.466537028
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+115 pct,215000,232692471.6,41831753.47,41.8,0.871,1.025,5.571545956,2.785772978,0.923966291
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+115 pct,215000,361274614.9,40024567.8,40,0.834,0.981,9.026303642,2.25657591,0.595115159
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+115 pct,215000,519021063.3,36744004.31,36.7,0.766,0.901,14.12527229,1.765659037,0.414241377
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+120 pct,220000,197731337.2,43906164.5,43.9,0.915,1.076,4.528318453,2.264159227,1.112620807
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+120 pct,220000,310250886.1,41479874.45,41.5,0.864,1.017,7.479551057,1.869887764,0.709103535
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+120 pct,220000,465165706.9,38175111.52,38.2,0.795,0.936,12.18501966,1.523127458,0.47294974
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+120 pct,220000,234357547.5,41997993.02,42,0.875,1.029,5.590868886,2.795434443,0.938736569
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+120 pct,220000,364078933.2,40167209.62,40.2,0.837,0.984,9.064080535,2.266020134,0.60426457
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+120 pct,220000,524630513.1,36887352.49,36.9,0.768,0.904,14.22248242,1.777810302,0.419342746
['MX'],USD,"Male, Female",25,44,14,3 times every 7 days,REACH,[],[],+125 pct,225000,199254706.7,44118888.23,44.1,0.919,1.081,4.543804451,2.271902226,1.129207956
['MX'],USD,"Male, Female",25,44,28,3 times every 7 days,REACH,[],[],+125 pct,225000,312220924.8,41607040.1,41.6,0.867,1.02,7.504032278,1.87600807,0.720643564
['MX'],USD,"Male, Female",25,44,56,3 times every 7 days,REACH,[],[],+125 pct,225000,469392946.8,38325103.75,38.3,0.798,0.939,12.24765782,1.530957227,0.479342524
['MX'],USD,"Male, Female",25,44,14,4 times every 7 days,REACH,[],[],+125 pct,225000,236022623.4,42164232.58,42.2,0.878,1.033,5.610191815,2.805095908,0.953298445
['MX'],USD,"Male, Female",25,44,28,4 times every 7 days,REACH,[],[],+125 pct,225000,366807452.7,40305266.89,40.3,0.84,0.988,9.100718656,2.275179664,0.613400841
['MX'],USD,"Male, Female",25,44,56,4 times every 7 days,REACH,[],[],+125 pct,225000,530121401.5,37027390.49,37,0.771,0.908,14.31697663,1.789622078,0.424431082
